Start Time,End Time,Category,Timestamp,Heart Rate,Source Name
13/09/22 1:47,13/09/22 1:59,Light/Core,13/09/22 1:46,64,Apple Watch SE 2020
13/09/22 1:59,13/09/22 2:04,Deep,13/09/22 1:59,62,Apple Watch SE 2020
13/09/22 2:04,13/09/22 2:12,Light/Core,13/09/22 2:05,64,Apple Watch SE 2020
13/09/22 2:12,13/09/22 2:27,Deep,13/09/22 2:13,65,Apple Watch SE 2020
13/09/22 2:27,13/09/22 2:35,Light/Core,13/09/22 2:24,64,Apple Watch SE 2020
13/09/22 2:35,13/09/22 2:49,Deep,13/09/22 2:35,64,Apple Watch SE 2020
13/09/22 2:49,13/09/22 3:03,Light/Core,13/09/22 2:49,62,Apple Watch SE 2020
13/09/22 3:03,13/09/22 3:14,REM,13/09/22 3:07,65,Apple Watch SE 2020
13/09/22 3:14,13/09/22 3:43,Light/Core,13/09/22 3:15,59,Apple Watch SE 2020
13/09/22 3:43,13/09/22 4:14,Deep,13/09/22 3:44,61,Apple Watch SE 2020
13/09/22 4:14,13/09/22 4:25,Light/Core,13/09/22 4:14,60,Apple Watch SE 2020
13/09/22 4:25,13/09/22 4:40,REM,13/09/22 4:24,61,Apple Watch SE 2020
13/09/22 4:40,13/09/22 5:59,Light/Core,13/09/22 4:40,59,Apple Watch SE 2020
13/09/22 5:59,13/09/22 6:34,REM,13/09/22 6:01,61,Apple Watch SE 2020
13/09/22 6:34,13/09/22 6:42,Awake,13/09/22 6:34,59,Apple Watch SE 2020
13/09/22 6:42,13/09/22 7:32,Light/Core,13/09/22 6:41,59,Apple Watch SE 2020
13/09/22 7:32,13/09/22 7:51,REM,13/09/22 7:31,59.0778,Apple Watch SE 2020
13/09/22 7:51,13/09/22 7:52,Awake,13/09/22 7:49,58,Apple Watch SE 2020
13/09/22 7:52,13/09/22 7:55,REM,13/09/22 7:55,59,Apple Watch SE 2020
13/09/22 7:55,13/09/22 7:57,Awake,13/09/22 7:55,59,Apple Watch SE 2020
13/09/22 7:57,13/09/22 8:04,Light/Core,13/09/22 7:55,59,Apple Watch SE 2020
14/09/22 1:13,14/09/22 1:15,Light/Core,14/09/22 1:10,71,Apple Watch SE 2020
14/09/22 1:15,14/09/22 1:17,Awake,14/09/22 1:17,62,Apple Watch SE 2020
14/09/22 1:17,14/09/22 1:32,Light/Core,14/09/22 1:17,62,Apple Watch SE 2020
14/09/22 1:32,14/09/22 1:51,Deep,14/09/22 1:34,62,Apple Watch SE 2020
14/09/22 1:51,14/09/22 2:07,Light/Core,14/09/22 1:52,61,Apple Watch SE 2020
14/09/22 2:07,14/09/22 2:23,REM,14/09/22 2:05,64,Apple Watch SE 2020
14/09/22 2:23,14/09/22 2:24,Light/Core,14/09/22 2:27,61,Apple Watch SE 2020
